;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
18/1/2025;0,52;0,384;0,332;0,157;0,527;;
18/1/2025;0,352;0,27;0,194;0,098;0,34;;
18/1/2025;0,286;0,348;0,122;0,065;0,221;;
18/1/2025;0,38;0,421;0,092;0,023;0,29;;
18/1/2025;0,263;0,393;0,076;0,007;0,297;;
18/1/2025;0,366;0;0,162;0,158;0,315;;
18/1/2025;0,506;0,371;0,247;0,226;0,396;;
18/1/2025;0,596;0,45;0,296;0,116;0,533;;
18/1/2025;0,462;0,735;0,399;0,061;0,468;;
18/1/2025;0,336;0,32;0,325;0,091;0,349;;
18/1/2025;0,285;0,252;0,301;0,039;0,222;;
18/1/2025;0,253;0,227;0,23;0,003;0,214;;
19/1/2025;0,152;0,19;0,152;-0,021;0,247;;
19/1/2025;0;0,169;0;0,056;0;;
19/1/2025;0,098;0,177;0,056;0,103;0,182;;
19/1/2025;0,081;0,11;0,06;0,081;0,144;;
19/1/2025;0,079;0,088;0,047;-0,04;0,146;;
19/1/2025;0,097;0,171;0,138;-0,044;0,18;;
19/1/2025;0,193;0,525;0,193;0,041;0,362;;
19/1/2025;0,34;0,638;0,272;0,165;0,627;;
19/1/2025;0,224;0,226;0,18;0,147;0,382;;
19/1/2025;0,257;0,258;0,153;0,053;0,323;;
19/1/2025;0,242;0,299;0,185;0,01;0,409;;
19/1/2025;0,301;0,292;0,201;-0,035;0,297;;
19/1/2025;0,274;0,302;0,117;0,02;0,266;;
19/1/2025;0,25;0,313;0,08;0,036;0,359;;
19/1/2025;0,194;0,256;0,071;-0,013;0,32;;
19/1/2025;0,224;0,281;0,063;-0,015;0,302;;
19/1/2025;0,27;0,334;0,084;0,019;0,288;;
19/1/2025;0,351;0,357;0,139;0,144;0,273;;
19/1/2025;0,417;0,347;0,159;0,155;0,333;;
19/1/2025;0,354;0,37;0,35;0,028;0,454;;
19/1/2025;0,312;0,355;0,349;0,014;0,327;;
19/1/2025;0,319;0,399;0,207;0,125;0,286;;
19/1/2025;0,207;0,27;0,15;0,144;0,246;;
19/1/2025;0,209;0,204;0,093;0,104;0,205;;
20/1/2025;0,137;0,177;0,062;-0,022;0,198;;
20/1/2025;0,132;0,148;-0,005;0;0,18;;
20/1/2025;0,063;0,139;-0,011;-0,089;0,154;;
20/1/2025;0,061;0,116;-0,005;-0,106;0,152;;
20/1/2025;0,076;0,129;-0,001;-0,105;0,166;;
20/1/2025;0,154;0,199;0,108;-0,057;0,212;;
20/1/2025;0,448;0,393;0,719;0,161;0,718;;
20/1/2025;0,957;0,774;0,884;0,441;1,124;;
20/1/2025;0,665;0,591;0,512;0,341;0,872;;
20/1/2025;0,502;0,448;0,403;0,181;0,549;;
20/1/2025;0,5;0,438;0,261;0,003;0,448;;
20/1/2025;0,371;0,443;0,168;0,01;0,339;;
20/1/2025;0,363;0,301;0,138;0,054;0,314;;
20/1/2025;0,332;0,287;0,085;-0,022;0,394;;
20/1/2025;0,356;0,326;0,102;0,038;0,365;;
20/1/2025;0,505;0,429;0,175;0,062;0,721;;
20/1/2025;0,866;0,559;0,533;0,164;0,819;;
20/1/2025;1,12;0,911;0,798;0,304;0,932;;
20/1/2025;1,379;1,384;0,749;0,27;1,491;;
20/1/2025;1,317;1,225;0,612;0,524;1,164;;
20/1/2025;1,547;1,193;0,508;0,571;1,01;;
20/1/2025;1,037;1,066;0,259;0,584;1,125;;
20/1/2025;0,748;1,077;0,279;0,587;1,072;;
20/1/2025;0,971;0,794;0,324;0,369;0,598;;
21/1/2025;0,676;0,88;0,551;0,143;0,564;;
21/1/2025;0;0,74;0;0,018;0;;
21/1/2025;0,269;0,601;0,508;-0,051;0,456;;
